,0,1,2
69,"[19.24366307743769, -99.37410378989058]","[19.33954768146602, -99.37505054799445]",2094
70,"[19.24366307743769, -99.37410378989058]","[19.212677047683112, -99.302143970052]",2902
71,"[19.24366307743769, -99.37410378989058]","[19.260036669744057, -99.39534166191987]",1626
72,"[19.24366307743769, -99.37410378989058]","[19.293661871392363, -99.29865490593097]",1949
73,"[19.24366307743769, -99.37410378989058]","[19.3065061616201, -99.39325293491389]",951
74,"[19.24366307743769, -99.37410378989058]","[19.267786613473948, -99.28242028807253]",3712
75,"[19.210003017001746, -99.37239974791837]","[19.283233143613977, -99.38244708305169]",2123
76,"[19.210003017001746, -99.37239974791837]","[19.21726790349794, -99.32291114051043]",3318
77,"[19.210003017001746, -99.37239974791837]","[19.250817894650115, -99.25583556469013]",4988
78,"[19.210003017001746, -99.37239974791837]","[19.33954768146602, -99.37505054799445]",3783
79,"[19.210003017001746, -99.37239974791837]","[19.212677047683112, -99.302143970052]",3353
80,"[19.210003017001746, -99.37239974791837]","[19.260036669744057, -99.39534166191987]",2952
81,"[19.210003017001746, -99.37239974791837]","[19.293661871392363, -99.29865490593097]",3638
82,"[19.210003017001746, -99.37239974791837]","[19.3065061616201, -99.39325293491389]",2640
83,"[19.210003017001746, -99.37239974791837]","[19.267786613473948, -99.28242028807253]",5402
84,"[19.283233143613977, -99.38244708305169]","[19.21726790349794, -99.32291114051043]",3318
85,"[19.283233143613977, -99.38244708305169]","[19.250817894650115, -99.25583556469013]",3516
86,"[19.283233143613977, -99.38244708305169]","[19.33954768146602, -99.37505054799445]",1833
87,"[19.283233143613977, -99.38244708305169]","[19.212677047683112, -99.302143970052]",3346
88,"[19.283233143613977, -99.38244708305169]","[19.260036669744057, -99.39534166191987]",1283
89,"[19.283233143613977, -99.38244708305169]","[19.293661871392363, -99.29865490593097]",1688
90,"[19.283233143613977, -99.38244708305169]","[19.3065061616201, -99.39325293491389]",690
91,"[19.283233143613977, -99.38244708305169]","[19.267786613473948, -99.28242028807253]",3452
92,"[19.21726790349794, -99.32291114051043]","[19.250817894650115, -99.25583556469013]",3516
93,"[19.21726790349794, -99.32291114051043]","[19.33954768146602, -99.37505054799445]",1833
94,"[19.21726790349794, -99.32291114051043]","[19.212677047683112, -99.302143970052]",3346
95,"[19.21726790349794, -99.32291114051043]","[19.260036669744057, -99.39534166191987]",4067
96,"[19.21726790349794, -99.32291114051043]","[19.293661871392363, -99.29865490593097]",4753
97,"[19.21726790349794, -99.32291114051043]","[19.3065061616201, -99.39325293491389]",3755
98,"[19.21726790349794, -99.32291114051043]","[19.267786613473948, -99.28242028807253]",4331
99,"[19.250817894650115, -99.25583556469013]","[19.33954768146602, -99.37505054799445]",4898
