,0,1,2
0,"[19.43494, -99.195697]","[19.543669463894723, -99.27755231685443]",1525
1,"[19.43494, -99.195697]","[19.46909015651368, -99.41351017908747]",3607
2,"[19.43494, -99.195697]","[19.388703464526824, -99.32040873553096]",3342
3,"[19.43494, -99.195697]","[19.548575142493583, -99.37652508939676]",3822
4,"[19.43494, -99.195697]","[19.558083310147587, -99.36167145413054]",4433
5,"[19.43494, -99.195697]","[19.46402657190602, -99.40537685887924]",3456
6,"[19.43494, -99.195697]","[19.513652688390795, -99.42268188847717]",3245
7,"[19.43494, -99.195697]","[19.533143078706075, -99.24848762553006]",1939
8,"[19.43494, -99.195697]","[19.52439810239925, -99.27650785811961]",1428
9,"[19.43494, -99.195697]","[19.43308341504041, -99.33368387654899]",1846
10,"[19.43494, -99.195697]","[19.468374993447767, -99.33004489823131]",2711
11,"[19.43494, -99.195697]","[19.576540463402644, -99.28658210802875]",2856
12,"[19.43494, -99.195697]","[19.465912208007513, -99.39932426541715]",3456
13,"[19.43494, -99.195697]","[19.483650773936038, -99.35386434085099]",2455
14,"[19.43494, -99.195697]","[19.474512134238832, -99.38042490106275]",3162
15,"[19.543669463894723, -99.27755231685443]","[19.46909015651368, -99.41351017908747]",2994
16,"[19.543669463894723, -99.27755231685443]","[19.388703464526824, -99.32040873553096]",2533
17,"[19.543669463894723, -99.27755231685443]","[19.548575142493583, -99.37652508939676]",2495
18,"[19.543669463894723, -99.27755231685443]","[19.558083310147587, -99.36167145413054]",2908
19,"[19.543669463894723, -99.27755231685443]","[19.46402657190602, -99.40537685887924]",2843
20,"[19.543669463894723, -99.27755231685443]","[19.513652688390795, -99.42268188847717]",2189
21,"[19.543669463894723, -99.27755231685443]","[19.533143078706075, -99.24848762553006]",793
22,"[19.543669463894723, -99.27755231685443]","[19.52439810239925, -99.27650785811961]",615
23,"[19.543669463894723, -99.27755231685443]","[19.43308341504041, -99.33368387654899]",1234
24,"[19.543669463894723, -99.27755231685443]","[19.468374993447767, -99.33004489823131]",1654
25,"[19.543669463894723, -99.27755231685443]","[19.576540463402644, -99.28658210802875]",1447
26,"[19.543669463894723, -99.27755231685443]","[19.465912208007513, -99.39932426541715]",2843
27,"[19.543669463894723, -99.27755231685443]","[19.483650773936038, -99.35386434085099]",1398
28,"[19.543669463894723, -99.27755231685443]","[19.474512134238832, -99.38042490106275]",2106
29,"[19.46909015651368, -99.41351017908747]","[19.388703464526824, -99.32040873553096]",2533
30,"[19.46909015651368, -99.41351017908747]","[19.548575142493583, -99.37652508939676]",4824
31,"[19.46909015651368, -99.41351017908747]","[19.558083310147587, -99.36167145413054]",5750
32,"[19.46909015651368, -99.41351017908747]","[19.46402657190602, -99.40537685887924]",1559
33,"[19.46909015651368, -99.41351017908747]","[19.513652688390795, -99.42268188847717]",3826
34,"[19.46909015651368, -99.41351017908747]","[19.533143078706075, -99.24848762553006]",3640
35,"[19.46909015651368, -99.41351017908747]","[19.52439810239925, -99.27650785811961]",3000
36,"[19.46909015651368, -99.41351017908747]","[19.43308341504041, -99.33368387654899]",1841
37,"[19.46909015651368, -99.41351017908747]","[19.468374993447767, -99.33004489823131]",2626
38,"[19.46909015651368, -99.41351017908747]","[19.576540463402644, -99.28658210802875]",4294
39,"[19.46909015651368, -99.41351017908747]","[19.465912208007513, -99.39932426541715]",1559
40,"[19.46909015651368, -99.41351017908747]","[19.483650773936038, -99.35386434085099]",3457
41,"[19.46909015651368, -99.41351017908747]","[19.474512134238832, -99.38042490106275]",2097
42,"[19.388703464526824, -99.32040873553096]","[19.548575142493583, -99.37652508939676]",4824
43,"[19.388703464526824, -99.32040873553096]","[19.558083310147587, -99.36167145413054]",5750
44,"[19.388703464526824, -99.32040873553096]","[19.46402657190602, -99.40537685887924]",1559
45,"[19.388703464526824, -99.32040873553096]","[19.513652688390795, -99.42268188847717]",3664
46,"[19.388703464526824, -99.32040873553096]","[19.533143078706075, -99.24848762553006]",3057
47,"[19.388703464526824, -99.32040873553096]","[19.52439810239925, -99.27650785811961]",2416
48,"[19.388703464526824, -99.32040873553096]","[19.43308341504041, -99.33368387654899]",2195
49,"[19.388703464526824, -99.32040873553096]","[19.468374993447767, -99.33004489823131]",3129
50,"[19.388703464526824, -99.32040873553096]","[19.576540463402644, -99.28658210802875]",3710
51,"[19.388703464526824, -99.32040873553096]","[19.465912208007513, -99.39932426541715]",2922
52,"[19.388703464526824, -99.32040873553096]","[19.483650773936038, -99.35386434085099]",2873
53,"[19.388703464526824, -99.32040873553096]","[19.474512134238832, -99.38042490106275]",3581
54,"[19.548575142493583, -99.37652508939676]","[19.558083310147587, -99.36167145413054]",5167
55,"[19.548575142493583, -99.37652508939676]","[19.46402657190602, -99.40537685887924]",4506
56,"[19.548575142493583, -99.37652508939676]","[19.513652688390795, -99.42268188847717]",1319
57,"[19.548575142493583, -99.37652508939676]","[19.533143078706075, -99.24848762553006]",3094
58,"[19.548575142493583, -99.37652508939676]","[19.52439810239925, -99.27650785811961]",2675
59,"[19.548575142493583, -99.37652508939676]","[19.43308341504041, -99.33368387654899]",2897
60,"[19.548575142493583, -99.37652508939676]","[19.468374993447767, -99.33004489823131]",3085
