,0,1,2
84,"[19.43494, -99.195697]","[19.33869584784552, -98.99391380497931]",3229
85,"[19.43494, -99.195697]","[19.495324153398418, -99.20701076318234]",1436
86,"[19.43494, -99.195697]","[19.483650773936038, -99.35386434085099]",2455
87,"[19.43494, -99.195697]","[19.485792124760632, -98.98047408784863]",3049
88,"[19.43494, -99.195697]","[19.474512134238832, -99.38042490106275]",3162
89,"[19.43494, -99.195697]","[19.226021457671923, -99.06484388336412]",4129
90,"[19.353501270004404, -99.15872310069946]","[19.359143913879322, -98.92848920641764]",3491
91,"[19.353501270004404, -99.15872310069946]","[19.543669463894723, -99.27755231685443]",2556
92,"[19.353501270004404, -99.15872310069946]","[19.46909015651368, -99.41351017908747]",4581
93,"[19.353501270004404, -99.15872310069946]","[19.451386763323626, -99.04376442644046]",2055
94,"[19.353501270004404, -99.15872310069946]","[19.541477905262493, -99.15827775883594]",3105
95,"[19.353501270004404, -99.15872310069946]","[19.57033974755775, -98.99451031049122]",4181
96,"[19.353501270004404, -99.15872310069946]","[19.388703464526824, -99.32040873553096]",4256
97,"[19.353501270004404, -99.15872310069946]","[19.348982397554433, -99.41006897111343]",4223
98,"[19.353501270004404, -99.15872310069946]","[19.390355974676364, -99.0435674876742]",2065
99,"[19.353501270004404, -99.15872310069946]","[19.401774570971646, -99.13377210325966]",852
100,"[19.353501270004404, -99.15872310069946]","[19.351671178252396, -98.94924235289035]",2819
101,"[19.353501270004404, -99.15872310069946]","[19.548575142493583, -99.37652508939676]",4853
102,"[19.353501270004404, -99.15872310069946]","[19.305285452158095, -99.39848815802986]",3215
103,"[19.353501270004404, -99.15872310069946]","[19.558083310147587, -99.36167145413054]",5463
104,"[19.353501270004404, -99.15872310069946]","[19.426591104675204, -99.04418893786857]",2052
105,"[19.353501270004404, -99.15872310069946]","[19.23446706792206, -98.89768460764665]",4204
106,"[19.353501270004404, -99.15872310069946]","[19.40323083429086, -99.21244696325431]",1445
107,"[19.353501270004404, -99.15872310069946]","[19.200480785694886, -99.06857299540648]",3828
108,"[19.353501270004404, -99.15872310069946]","[19.344505860824373, -99.41412558420897]",3750
109,"[19.353501270004404, -99.15872310069946]","[19.215753641338598, -99.28784104799603]",4010
110,"[19.353501270004404, -99.15872310069946]","[19.24683845748336, -99.16126488643575]",1985
111,"[19.353501270004404, -99.15872310069946]","[19.46402657190602, -99.40537685887924]",4430
112,"[19.353501270004404, -99.15872310069946]","[19.51300807969795, -99.09908971871336]",2490
113,"[19.353501270004404, -99.15872310069946]","[19.395573146114494, -99.02745525551764]",2129
114,"[19.353501270004404, -99.15872310069946]","[19.331528330318065, -98.95977721631968]",2923
115,"[19.353501270004404, -99.15872310069946]","[19.403378299014182, -98.90786505654526]",3805
116,"[19.353501270004404, -99.15872310069946]","[19.302691102166445, -99.1503164683647]",1151
117,"[19.353501270004404, -99.15872310069946]","[19.55346843309786, -99.09301184954363]",3834
118,"[19.353501270004404, -99.15872310069946]","[19.368244338285994, -99.18597834552118]",787
119,"[19.353501270004404, -99.15872310069946]","[19.527845824899295, -98.88916567643976]",3404
120,"[19.353501270004404, -99.15872310069946]","[19.433791636511348, -99.03026835731171]",2447
121,"[19.353501270004404, -99.15872310069946]","[19.497206150321375, -99.09281546705141]",2487
122,"[19.353501270004404, -99.15872310069946]","[19.309437134330768, -99.16548155568837]",1311
123,"[19.353501270004404, -99.15872310069946]","[19.24660725229904, -98.91261159582325]",3670
124,"[19.353501270004404, -99.15872310069946]","[19.216767628615436, -99.20382009440948]",3143
125,"[19.353501270004404, -99.15872310069946]","[19.24366307743769, -99.37410378989058]",3365
126,"[19.353501270004404, -99.15872310069946]","[19.230187704759373, -99.19245863465683]",2559
127,"[19.353501270004404, -99.15872310069946]","[19.288005908707827, -99.13134020603029]",1446
128,"[19.353501270004404, -99.15872310069946]","[19.31276644796084, -99.25649244905321]",2446
129,"[19.353501270004404, -99.15872310069946]","[19.54353502594405, -99.15314941659909]",3092
130,"[19.353501270004404, -99.15872310069946]","[19.443585462844418, -99.19964300755342]",1914
131,"[19.353501270004404, -99.15872310069946]","[19.400198487232096, -99.253841107874]",2242
132,"[19.353501270004404, -99.15872310069946]","[19.210003017001746, -99.37239974791837]",5240
133,"[19.353501270004404, -99.15872310069946]","[19.371642414581164, -99.2880756962674]",2502
134,"[19.353501270004404, -99.15872310069946]","[19.513652688390795, -99.42268188847717]",4276
135,"[19.353501270004404, -99.15872310069946]","[19.394717011022145, -99.06394165309631]",1615
136,"[19.353501270004404, -99.15872310069946]","[19.533143078706075, -99.24848762553006]",2913
137,"[19.353501270004404, -99.15872310069946]","[19.32225543254924, -99.16119649805853]",916
138,"[19.353501270004404, -99.15872310069946]","[19.283233143613977, -99.38244708305169]",3058
139,"[19.353501270004404, -99.15872310069946]","[19.21726790349794, -99.32291114051043]",4295
140,"[19.353501270004404, -99.15872310069946]","[19.576890751979587, -99.05542416734598]",3527
141,"[19.353501270004404, -99.15872310069946]","[19.52439810239925, -99.27650785811961]",2458
142,"[19.353501270004404, -99.15872310069946]","[19.224898463487445, -99.24117238947034]",3493
143,"[19.353501270004404, -99.15872310069946]","[19.34732888152316, -99.26713604804236]",2175
144,"[19.353501270004404, -99.15872310069946]","[19.28635405427697, -99.01378764315798]",2928
145,"[19.353501270004404, -99.15872310069946]","[19.53511504704348, -98.97984672757082]",3706
146,"[19.353501270004404, -99.15872310069946]","[19.250817894650115, -99.25583556469013]",3083
147,"[19.353501270004404, -99.15872310069946]","[19.43308341504041, -99.33368387654899]",2821
148,"[19.353501270004404, -99.15872310069946]","[19.38101255009176, -99.19348543899147]",1154
149,"[19.353501270004404, -99.15872310069946]","[19.40159581833263, -99.13649229548915]",770
150,"[19.353501270004404, -99.15872310069946]","[19.299795680691915, -99.19771371374877]",1644
151,"[19.353501270004404, -99.15872310069946]","[19.373737396301504, -99.21457092202904]",1455
152,"[19.353501270004404, -99.15872310069946]","[19.33954768146602, -99.37505054799445]",4192
153,"[19.353501270004404, -99.15872310069946]","[19.468374993447767, -99.33004489823131]",3742
154,"[19.353501270004404, -99.15872310069946]","[19.373907586588626, -98.9863277974932]",2593
155,"[19.353501270004404, -99.15872310069946]","[19.31523404548342, -98.92532990607914]",3360
156,"[19.353501270004404, -99.15872310069946]","[19.212677047683112, -99.302143970052]",4268
157,"[19.353501270004404, -99.15872310069946]","[19.218224670083124, -98.9957387869367]",4542
158,"[19.353501270004404, -99.15872310069946]","[19.57736498006908, -99.07914036065755]",4162
159,"[19.353501270004404, -99.15872310069946]","[19.573237731013197, -99.13951920436632]",4531
160,"[19.353501270004404, -99.15872310069946]","[19.541044713648574, -99.21832894438758]",2418
161,"[19.353501270004404, -99.15872310069946]","[19.328139833987972, -99.26328027892764]",2599
162,"[19.353501270004404, -99.15872310069946]","[19.260036669744057, -99.39534166191987]",4253
163,"[19.353501270004404, -99.15872310069946]","[19.576540463402644, -99.28658210802875]",3830
164,"[19.353501270004404, -99.15872310069946]","[19.238716305928236, -98.8937882130366]",3542
165,"[19.353501270004404, -99.15872310069946]","[19.465912208007513, -99.39932426541715]",4430
166,"[19.353501270004404, -99.15872310069946]","[19.431952396894207, -99.11159226862561]",1765
167,"[19.353501270004404, -99.15872310069946]","[19.293661871392363, -99.29865490593097]",3108
168,"[19.353501270004404, -99.15872310069946]","[19.3065061616201, -99.39325293491389]",2958
169,"[19.353501270004404, -99.15872310069946]","[19.262283454737926, -99.0840595002207]",2612
170,"[19.353501270004404, -99.15872310069946]","[19.267786613473948, -99.28242028807253]",3255
171,"[19.353501270004404, -99.15872310069946]","[19.328031981687346, -99.21520730064226]",1355
172,"[19.353501270004404, -99.15872310069946]","[19.306508838764096, -99.14526157993895]",1005
173,"[19.353501270004404, -99.15872310069946]","[19.33869584784552, -98.99391380497931]",2651
174,"[19.353501270004404, -99.15872310069946]","[19.495324153398418, -99.20701076318234]",2499
175,"[19.353501270004404, -99.15872310069946]","[19.483650773936038, -99.35386434085099]",3486
176,"[19.353501270004404, -99.15872310069946]","[19.485792124760632, -98.98047408784863]",3022
177,"[19.353501270004404, -99.15872310069946]","[19.474512134238832, -99.38042490106275]",4193
178,"[19.353501270004404, -99.15872310069946]","[19.226021457671923, -99.06484388336412]",3496
179,"[19.359143913879322, -98.92848920641764]","[19.543669463894723, -99.27755231685443]",2556
180,"[19.359143913879322, -98.92848920641764]","[19.46909015651368, -99.41351017908747]",7298
181,"[19.359143913879322, -98.92848920641764]","[19.451386763323626, -99.04376442644046]",3061
182,"[19.359143913879322, -98.92848920641764]","[19.541477905262493, -99.15827775883594]",4764
183,"[19.359143913879322, -98.92848920641764]","[19.57033974755775, -98.99451031049122]",4725
184,"[19.359143913879322, -98.92848920641764]","[19.388703464526824, -99.32040873553096]",6931
185,"[19.359143913879322, -98.92848920641764]","[19.348982397554433, -99.41006897111343]",6898
186,"[19.359143913879322, -98.92848920641764]","[19.390355974676364, -99.0435674876742]",2029
187,"[19.359143913879322, -98.92848920641764]","[19.401774570971646, -99.13377210325966]",3377
188,"[19.359143913879322, -98.92848920641764]","[19.351671178252396, -98.94924235289035]",1464
189,"[19.359143913879322, -98.92848920641764]","[19.548575142493583, -99.37652508939676]",7626
190,"[19.359143913879322, -98.92848920641764]","[19.305285452158095, -99.39848815802986]",5890
191,"[19.359143913879322, -98.92848920641764]","[19.558083310147587, -99.36167145413054]",8056
192,"[19.359143913879322, -98.92848920641764]","[19.426591104675204, -99.04418893786857]",2907
193,"[19.359143913879322, -98.92848920641764]","[19.23446706792206, -98.89768460764665]",3931
194,"[19.359143913879322, -98.92848920641764]","[19.40323083429086, -99.21244696325431]",4140
195,"[19.359143913879322, -98.92848920641764]","[19.200480785694886, -99.06857299540648]",5466
196,"[19.359143913879322, -98.92848920641764]","[19.344505860824373, -99.41412558420897]",6425
197,"[19.359143913879322, -98.92848920641764]","[19.215753641338598, -99.28784104799603]",6784
198,"[19.359143913879322, -98.92848920641764]","[19.24683845748336, -99.16126488643575]",4921
199,"[19.359143913879322, -98.92848920641764]","[19.46402657190602, -99.40537685887924]",7147
200,"[19.359143913879322, -98.92848920641764]","[19.51300807969795, -99.09908971871336]",3928
201,"[19.359143913879322, -98.92848920641764]","[19.395573146114494, -99.02745525551764]",2321
202,"[19.359143913879322, -98.92848920641764]","[19.331528330318065, -98.95977721631968]",1808
203,"[19.359143913879322, -98.92848920641764]","[19.403378299014182, -98.90786505654526]",1746
204,"[19.359143913879322, -98.92848920641764]","[19.302691102166445, -99.1503164683647]",4161
205,"[19.359143913879322, -98.92848920641764]","[19.55346843309786, -99.09301184954363]",5143
206,"[19.359143913879322, -98.92848920641764]","[19.368244338285994, -99.18597834552118]",3868
207,"[19.359143913879322, -98.92848920641764]","[19.527845824899295, -98.88916567643976]",2762
208,"[19.359143913879322, -98.92848920641764]","[19.433791636511348, -99.03026835731171]",3069
209,"[19.359143913879322, -98.92848920641764]","[19.497206150321375, -99.09281546705141]",3902
210,"[19.359143913879322, -98.92848920641764]","[19.309437134330768, -99.16548155568837]",4246
211,"[19.359143913879322, -98.92848920641764]","[19.24660725229904, -98.91261159582325]",3398
212,"[19.359143913879322, -98.92848920641764]","[19.216767628615436, -99.20382009440948]",6079
213,"[19.359143913879322, -98.92848920641764]","[19.24366307743769, -99.37410378989058]",6041
214,"[19.359143913879322, -98.92848920641764]","[19.230187704759373, -99.19245863465683]",5495
215,"[19.359143913879322, -98.92848920641764]","[19.288005908707827, -99.13134020603029]",3860
216,"[19.359143913879322, -98.92848920641764]","[19.31276644796084, -99.25649244905321]",5354
217,"[19.359143913879322, -98.92848920641764]","[19.54353502594405, -99.15314941659909]",4751
218,"[19.359143913879322, -98.92848920641764]","[19.443585462844418, -99.19964300755342]",4343
219,"[19.359143913879322, -98.92848920641764]","[19.400198487232096, -99.253841107874]",4937
220,"[19.359143913879322, -98.92848920641764]","[19.210003017001746, -99.37239974791837]",7915
221,"[19.359143913879322, -98.92848920641764]","[19.371642414581164, -99.2880756962674]",5177
222,"[19.359143913879322, -98.92848920641764]","[19.513652688390795, -99.42268188847717]",7049
223,"[19.359143913879322, -98.92848920641764]","[19.394717011022145, -99.06394165309631]",2729
224,"[19.359143913879322, -98.92848920641764]","[19.533143078706075, -99.24848762553006]",5631
225,"[19.359143913879322, -98.92848920641764]","[19.32225543254924, -99.16119649805853]",4186
226,"[19.359143913879322, -98.92848920641764]","[19.283233143613977, -99.38244708305169]",5734
227,"[19.359143913879322, -98.92848920641764]","[19.21726790349794, -99.32291114051043]",7102
228,"[19.359143913879322, -98.92848920641764]","[19.576890751979587, -99.05542416734598]",4411
229,"[19.359143913879322, -98.92848920641764]","[19.52439810239925, -99.27650785811961]",5232
230,"[19.359143913879322, -98.92848920641764]","[19.224898463487445, -99.24117238947034]",6268
231,"[19.359143913879322, -98.92848920641764]","[19.34732888152316, -99.26713604804236]",5076
232,"[19.359143913879322, -98.92848920641764]","[19.28635405427697, -99.01378764315798]",2781
233,"[19.359143913879322, -98.92848920641764]","[19.53511504704348, -98.97984672757082]",3862
234,"[19.359143913879322, -98.92848920641764]","[19.250817894650115, -99.25583556469013]",5857
235,"[19.359143913879322, -98.92848920641764]","[19.43308341504041, -99.33368387654899]",5538
236,"[19.359143913879322, -98.92848920641764]","[19.38101255009176, -99.19348543899147]",3778
237,"[19.359143913879322, -98.92848920641764]","[19.40159581833263, -99.13649229548915]",3401
238,"[19.359143913879322, -98.92848920641764]","[19.299795680691915, -99.19771371374877]",4419
239,"[19.359143913879322, -98.92848920641764]","[19.373737396301504, -99.21457092202904]",4346
240,"[19.359143913879322, -98.92848920641764]","[19.33954768146602, -99.37505054799445]",6867
241,"[19.359143913879322, -98.92848920641764]","[19.468374993447767, -99.33004489823131]",6515
242,"[19.359143913879322, -98.92848920641764]","[19.373907586588626, -98.9863277974932]",1839
243,"[19.359143913879322, -98.92848920641764]","[19.31523404548342, -98.92532990607914]",1813
244,"[19.359143913879322, -98.92848920641764]","[19.212677047683112, -99.302143970052]",7074
245,"[19.359143913879322, -98.92848920641764]","[19.218224670083124, -98.9957387869367]",4114
246,"[19.359143913879322, -98.92848920641764]","[19.57736498006908, -99.07914036065755]",5072
247,"[19.359143913879322, -98.92848920641764]","[19.573237731013197, -99.13951920436632]",6190
248,"[19.359143913879322, -98.92848920641764]","[19.541044713648574, -99.21832894438758]",4996
249,"[19.359143913879322, -98.92848920641764]","[19.328139833987972, -99.26328027892764]",5541
250,"[19.359143913879322, -98.92848920641764]","[19.260036669744057, -99.39534166191987]",6929
251,"[19.359143913879322, -98.92848920641764]","[19.576540463402644, -99.28658210802875]",6594
252,"[19.359143913879322, -98.92848920641764]","[19.238716305928236, -98.8937882130366]",3270
253,"[19.359143913879322, -98.92848920641764]","[19.465912208007513, -99.39932426541715]",7147
254,"[19.359143913879322, -98.92848920641764]","[19.431952396894207, -99.11159226862561]",3349
255,"[19.359143913879322, -98.92848920641764]","[19.293661871392363, -99.29865490593097]",5784
256,"[19.359143913879322, -98.92848920641764]","[19.3065061616201, -99.39325293491389]",5633
257,"[19.359143913879322, -98.92848920641764]","[19.262283454737926, -99.0840595002207]",4584
258,"[19.359143913879322, -98.92848920641764]","[19.267786613473948, -99.28242028807253]",6217
259,"[19.359143913879322, -98.92848920641764]","[19.328031981687346, -99.21520730064226]",4350
260,"[19.359143913879322, -98.92848920641764]","[19.306508838764096, -99.14526157993895]",4016
261,"[19.359143913879322, -98.92848920641764]","[19.33869584784552, -98.99391380497931]",2091
262,"[19.359143913879322, -98.92848920641764]","[19.495324153398418, -99.20701076318234]",4821
263,"[19.359143913879322, -98.92848920641764]","[19.483650773936038, -99.35386434085099]",6259
264,"[19.359143913879322, -98.92848920641764]","[19.485792124760632, -98.98047408784863]",3022
265,"[19.359143913879322, -98.92848920641764]","[19.474512134238832, -99.38042490106275]",6966
266,"[19.359143913879322, -98.92848920641764]","[19.226021457671923, -99.06484388336412]",5162
